Cyclone,Peak_Date,SST_Large,SST_Anom,SST_Submeso,MSLA_Large,MSLA_Anom,MSLA_Submeso,Category,Max_Wind_mph,Min_Pressure_mb,Z_SST,Z_MSLA,Z_V,COCI_A,COCI_B,COCI_C,COCI_D,COCI_A_Class,COCI_B_Class,COCI_C_Class,COCI_D_Class
GAEMI,2024-07-24,,-0.0158095340474845,-0.0086209550024004,,-0.0017651202379965,-0.0028825266980054,4,145,919,0.17150377137835968,-1.315542608725511,1.4471951595720818,0.1010521074083101,-1.6556474677712698,-1.111513685512819,-0.5720194186735758,Moderate,Suppressed,Suppressed,Weak
PRAPIROON,2024-07-22,,-0.0030746700129125,-0.0029197487788714,,-0.0027302801937819,-0.0022929930742701,TS,70,985,0.2965843226872407,-1.9673750821071228,-0.4732149905879598,-0.7146685833359473,0.7906432334933297,-1.6567504736633858,-0.835395379709941,Weak,Moderate,Suppressed,Weak
MARIA,2024-08-08,,-0.012611871722789,-0.0089027396634011,,0.0002728478253462,0.0005830162620493,1,80,969,0.202910888516536,0.06082382197706301,-0.21716030389995422,0.015524802197881585,-0.0572727098797564,0.08031875608024398,0.1318673552467995,Moderate,Weak,Moderate,Moderate
SON-TINH,2024-08-11,,-0.3614939569369089,-0.0552213636438303,,-0.0019118090856754,-0.0010462201859403,TS,45,992,-3.223773797076243,-1.4146106997987962,-1.1133517073079737,-1.9172454013943376,5.164153298746662,-1.662835370926991,-2.3191922484375196,Suppressed,Extreme,Suppressed,Suppressed
AMPIL,2024-08-16,,-0.3870819791759718,-0.0588815959212693,,-0.0015396067584394,-0.0007806052656629,4,130,944,-3.4750967731109426,-1.1632393471993125,1.0631131295400735,-1.1917409969233939,-4.931076028721798,-1.480435762550573,-2.3191680601551274,Suppressed,Suppressed,Suppressed,Suppressed
JONGDARI,2024-08-19,,-0.1452919067286208,-0.0473942196744276,,0.0005186083706487,0.000359074889762,TS,40,999,-1.100259045701677,0.22680118473843408,-1.2413790506519764,-0.7049456372050731,1.0842922902270564,0.04472302397779245,-0.4367289304816214,Weak,Strong,Moderate,Weak
SHANSHAN,2024-08-27,,-0.0007471376760732,-0.0070692220626357,,-0.000442364325519,0.0004429336579831,4,130,932,0.3194451107640325,-0.4222033721129323,1.0631131295400735,0.32011828939705794,-0.10924365680872566,-0.32044612809668027,-0.05137913067444991,Moderate,Weak,Weak,Weak
YAGI,2024-09-04,,-0.010292293785763,-0.0087496819994386,,-0.0039081090896721,-0.0022849170162251,4,145,922,0.2256935492798929,-2.7628361016266147,1.4471951595720818,-0.3633157975915467,-3.671740420900533,-2.3527974539947456,-1.268571276173361,Weak,Suppressed,Suppressed,Suppressed
LEEPI,2024-09-05,,-0.2981575880791481,-0.0481126496155262,,-0.0012177638499563,-0.000435766548179,TS,40,1002,-2.6016903642948095,-0.9458788383848374,-1.2413790506519764,-1.5963160844438746,4.403878088944649,-1.1730630386859593,-1.7737846013398235,Suppressed,Extreme,Suppressed,Suppressed
BEBINCA,2024-09-15,,-0.0351685546073947,-0.0108335837808423,,0.0013306077200926,0.0005590935374836,1,85,962,-0.01863857783400176,0.7751947863995895,-0.08913296055595146,0.22247441600321208,-0.06743409469643671,0.66627756049331,0.37827810428279385,Moderate,Weak,Moderate,Moderate
PULASAN,2024-09-17,,-0.1803169424097019,-0.0298406156757191,,-3.0235718012704358e-05,-0.0001008602034628,1,75,995,-1.4442714168357274,-0.14386732224693577,-0.345187647243957,-0.6444421287755401,0.548205874840929,-0.32228815074980605,-0.7940693695413316,Weak,Moderate,Weak,Weak
UNNAMED,2024-09-20,,-0.0267858931760879,-0.0085250259660766,,-0.0001017850901767,-0.0007094290040727,TS,40,1002,0.06369507805875922,-0.19218905787945775,-1.2413790506519764,-0.45662434349089165,0.15950973468431298,-0.15708069446779482,-0.06424698991034927,Weak,Moderate,Weak,Weak
CIMARON,2024-09-24,,-0.0388379840312614,-0.0285666245865205,,-0.0003167227159425,-0.0009805367395633,TS,40,1001,-0.0546793438822513,-0.33734978837379687,-1.2413790506519764,-0.5444693943026748,0.4866567520279312,-0.29856623247042646,-0.1960145661280241,Weak,Moderate,Weak,Weak
JEBI,2024-10-01,,-0.1328569694189829,-0.0369875743200402,,0.0001389649213189,-0.0005537397833439,1,80,976,-0.978124344462744,-0.029595619849667663,-0.21716030389995422,-0.4082934227374553,0.21883677369613436,-0.15973769000190868,-0.5038599821562059,Weak,Moderate,Weak,Weak
KRATHON,2024-09-30,,-0.0161708421478042,-0.0094205916846376,,0.0007870391791778,4.400075376635267e-05,4,145,927,0.16795503962451716,0.4080891845218125,1.4471951595720818,0.6744131279061372,0.8336484128840235,0.37514178512289564,0.2880221120731648,Moderate,Moderate,Moderate,Moderate
