Cyclone,Peak_Date,SST_Large,SST_Anom,SST_Submeso,MSLA_Large,MSLA_Anom,MSLA_Submeso,Category,Max_Wind_mph,Min_Pressure_mb,Z_SST,Z_MSLA,Z_V,COCI_A,COCI_B,COCI_C,COCI_D,COCI_A_Class,COCI_B_Class,COCI_C_Class,COCI_D_Class,COCI_Scale_0_to_1,COCI_Score_100
ALBERTO,2024-06-20,-0.2189002850895924,-0.0067017738891452,0.0162303816695588,0.0097331724262042,-0.0011617642183554,0.0024877508830603,TS,50,993,-0.9333239833926125,-2.4844816434340284,-0.9864508635099982,-1.4680854967788797,3.3714973118924707,-1.823669679744835,-1.7089028134133204,Suppressed,Extreme,Suppressed,Suppressed,0.0878891535632092,8.78891535632092
BERYL,2024-07-02,0.430273769684284,0.0001828963519894,0.0057277516695519,0.0067608819558881,1.0912227065169693e-05,-0.0002930853927006,5,165,934,0.18698083987379802,0.10674449990315851,1.9435041847299637,0.7457431748356401,0.5708564270177454,0.140926153219957,0.14686266988847826,Moderate,Moderate,Moderate,Moderate,0.6203245185748089,62.032451857480886
CHRIS,2024-07-01,-0.0369931293228837,0.0061397922189456,-0.0062107927523641,-0.0403500482643251,0.0015385734401727,-0.0015655131276548,TS,40,1005,1.156314001478786,3.482369284578312,-1.2412295633569514,1.1324845742333822,-5.757670829703841,2.491441541467028,2.319341643028549,Strong,Suppressed,Extreme,Extreme,0.7133374968570273,71.33374968570273
DEBBY,2024-08-05,0.0992156983262901,-0.0084876916791482,-0.0288681505632417,0.0048815197900938,-0.0001474610731067,-0.0008526314021836,1,80,979,-1.2239366407924417,-0.24320798478647565,-0.22211476396913862,-0.5630864631826853,0.32587448221905146,-0.6610102789802601,-0.7335723127894587,Weak,Moderate,Weak,Weak,0.30554533308884724,30.554533308884725
ERNESTO,2024-08-16,-0.0436125521403951,0.0016591213588057,0.0045189092490079,0.0029857484838436,8.806935584150359e-05,0.0001276759135748,2,100,967,0.4271988804535076,0.27723617304183634,0.2874426357247678,0.3306258964067039,0.20248466847361948,0.34112210399369625,0.352217526747672,Moderate,Moderate,Moderate,Moderate,0.5204870187281099,52.04870187281099
FRANCINE,2024-09-11,-0.3562074119076932,-0.0068341248342315,-0.0275902771191585,0.0181001699848213,-0.0021093673512394,0.000345213420495,1,90,976,-0.9548607305352926,-4.5783703891541805,0.032663935877814576,-1.833522394603886,-0.1807371064906651,-3.0347113565225308,-2.7666155598447366,Suppressed,Weak,Suppressed,Suppressed,0.0,0.0
GORDON,2024-09-14,-0.0661867919577439,-1.7882151954227582e-17,2.0015817812405727e-18,0.0085158296492911,7.805221188752585e-19,-1.2902508495693045e-18,TS,45,1004,0.15721911445849207,0.08263209603957075,-1.1138402134334748,-0.29132966764513735,-0.2671559234934396,0.1144070699038093,0.11992560524903141,Weak,Weak,Moderate,Moderate,0.37090401711063026,37.09040171106302
HELENE,2024-09-27,-0.2843745053747177,0.0102130131870166,-0.0009103094425968,0.0036921487524495,0.000138238884277,0.0009477809577354,4,140,941,1.8191270247511675,0.38809419716999494,1.3065574351125806,1.171259552344581,2.88386129843937,0.9977315262809281,1.1036106109605812,Strong,Extreme,Moderate,Strong,0.7226630467013595,72.26630467013595
ISAAC,2024-09-28,-0.1366546753885273,-0.0001187788005069,-0.0026490795552697,-0.0024869550614196,9.75602841888784e-05,-7.576388852244032e-05,2,105,968,0.13789088834904098,0.29820797797089116,0.41483198564824436,0.28364361732272547,0.18090775865444572,0.2299109546991738,0.21804943315996606,Moderate,Moderate,Moderate,Moderate,0.509187577522973,50.918757752297296
JOYCE,2024-09-27,-0.2452760230489907,3.088521142598764e-17,-4.749617217647669e-17,-0.0022841126126126,-8.001607384685731e-20,-3.200642953874324e-19,TS,50,1001,0.15721911445850004,0.08263209603956885,-0.9864508635099982,-0.24886655100397645,-0.2366014337097384,0.11440706990381161,0.11992560524903445,Weak,Weak,Moderate,Moderate,0.38111658021375344,38.11165802137534
KIRK,2024-10-04,-0.3144369056405089,-0.000459682965312,-0.0029271631052636,-0.0028410976050206,5.123538820919169e-05,0.0001510323126178,4,145,934,0.08241741369794126,0.19584531688163456,1.4339467850360572,0.570736505205211,0.3990139479099373,0.14752365534404283,0.13913136528978792,Moderate,Moderate,Moderate,Moderate,0.578234658045454,57.82346580454541
LESLIE,2024-10-10,-0.2436881967756967,-7.106617352187473e-17,-1.428903053790937e-17,0.0002829869164382,-5.8084948818343554e-08,5.6627593736051046e-08,2,105,972,0.15721911445848344,0.08250374756075353,0.41483198564824436,0.2181849492224938,0.09944471085672017,0.11433339943258788,0.11986143100961849,Moderate,Moderate,Moderate,Moderate,0.4934444848934504,49.34444848934504
MILTON,2024-10-07,-0.2542155445156737,0.0037386110598084,-0.001677389801423,-0.0074598279809227,3.058237471922703e-05,-0.0001688995909938,5,175,901,0.7655828931033598,0.15020900457837277,2.198282884576917,1.0380249274195499,2.013169654507968,0.41236573961225326,0.45789594884086626,Strong,Extreme,Moderate,Moderate,0.6906195434873517,69.06195434873517
OSCAR,2024-10-19,-0.3081745974540126,-0.0013401342926441,0.0041561557987903,-0.0050286145842905,5.621718520639255e-05,-3.724208779291491e-05,1,85,986,-0.060853626760622434,0.20685343652994545,-0.09472541404566202,0.017091465241220336,-0.013829892430987015,0.09280698287559284,0.07299990488466152,Moderate,Weak,Moderate,Moderate,0.4450806327499423,44.50806327499423
KRISTY,2024-10-19,-0.2857918527641985,0.0096788712153164,0.0106085563777278,-0.0233573964238511,0.0009405067506469,-0.0022083582784991,5,160,926,1.732209016154412,2.16084018982227,1.816114834806487,1.9030546802610564,7.0702244156058685,1.978238114697103,1.9465246029883412,Strong,Extreme,Strong,Strong,0.8986629382204098,89.86629382204097
PATTY,2024-10-31,-0.2369148379062196,-9.129711246334622e-18,-1.02709251521266e-17,-0.0025720663988657,4.197440546787021e-19,4.0050578550592464e-19,TS,65,982,0.15721911445849351,0.08263209603956995,-0.6042828137395684,-0.12147720108050164,-0.14493796435861128,0.11440706990380947,0.11992560524903173,Weak,Weak,Moderate,Moderate,0.41175426952312105,41.17542695231211
RAFAEL,2024-11-08,-0.0691606060684684,-0.0029861270382772,0.0078367205094142,-0.012515550510228,8.050426772548188e-06,0.0002830769528264,3,120,956,-0.32869704516818127,0.10042087008675905,0.7970000354186741,0.18957462011241732,-0.18193611962513298,-0.08238856285396394,-0.11413808754071111,Moderate,Weak,Weak,Weak,0.4865635770715655,48.65635770715655
SARA,2024-11-15,-0.2458368398091046,-0.0057086560977718,0.0047284725651975,-0.0018574088980072,-0.0004005967320834,0.0012420062974247,TS,50,997,-0.771719343986681,-0.8025538639612448,-0.9864508635099982,-0.8535746904859747,1.5529431653808865,-0.7894179847281428,-0.7871366039739629,Weak,Strong,Weak,Weak,0.23568165875898,23.568165875898
ALETTA,2024-07-04,0.5040878829522057,0.004041158440768,0.0048486305842338,0.0037296124729208,-0.0001510934834075,0.0004212480266291,TS,40,1005,0.814814777606778,-0.25123440722509177,-1.2412295633569514,-0.22588306432508842,-0.6995326170454093,0.20291546635977825,0.2817901851908431,Weak,Weak,Moderate,Moderate,0.3866442081083676,38.66442081083676
