Cyclone,Date,SST_Anomaly,MSLA_Anomaly
DEBBY,2024-08-11,-0.29159857484691626,0.00018139430288098405
DEBBY,2024-08-12,-0.28621917522115436,0.0003024523729688662
ERNESTO,2024-08-10,-0.13030800666189257,-0.0001378988244524168
ERNESTO,2024-08-11,-0.13090498229586608,-7.442641892209362e-05
ERNESTO,2024-08-12,-0.13063756313039068,-3.246119846532865e-05
ERNESTO,2024-08-13,-0.1316684596495712,-8.883713896061222e-06
ERNESTO,2024-08-14,-0.13288812928779592,3.245887116119099e-06
ERNESTO,2024-08-15,-0.1307818614626192,1.2263379376928682e-05
ERNESTO,2024-08-16,-0.12736298587701023,2.4969219085127167e-05
ERNESTO,2024-08-17,-0.1223112648603782,4.1207435585066775e-05
ERNESTO,2024-08-18,-0.12075815935203976,5.652930921262905e-05
ERNESTO,2024-08-19,-0.12049027027680918,6.580359813707289e-05
ERNESTO,2024-08-20,-0.12209207738541261,6.564404687780578e-05
ERNESTO,2024-08-21,-0.12620290468746095,5.465261561378843e-05
FRANCINE,2024-09-06,-0.013933602476988612,0.0015825962466603323
FRANCINE,2024-09-07,-0.018892446745900123,0.0014583727733949983
FRANCINE,2024-09-08,-0.015811751166730406,0.0011257183856900792
FRANCINE,2024-09-09,-0.027000132969732794,0.0005965457701857722
FRANCINE,2024-09-10,-0.032628520716311046,-7.621581669337544e-05
FRANCINE,2024-09-11,-0.04975029566569619,-0.0007965402261266097
FRANCINE,2024-09-12,-0.041469505652555264,-0.001463192839702875
FRANCINE,2024-09-13,-0.039887334403079705,-0.0019899620476039877
FRANCINE,2024-09-14,-0.05632057322390033,-0.0023225261303294583
FRANCINE,2024-09-15,-0.0604563911295384,-0.002438196954487997
FRANCINE,2024-09-16,-0.06002296973570047,-0.0023596880155660857
FRANCINE,2024-09-17,-0.05939236474191348,-0.002131660752486482
GORDON,2024-09-09,4.977415713950308e-15,4.460126393572909e-19
GORDON,2024-09-10,4.959208431960549e-15,8.920252787145818e-19
GORDON,2024-09-11,4.9705879832041484e-15,0.0
GORDON,2024-09-12,5.002450726686226e-15,6.690189590359364e-19
GORDON,2024-09-13,4.984243444696467e-15,-6.690189590359364e-19
GORDON,2024-09-14,4.984243444696467e-15,1.1150315983932274e-18
GORDON,2024-09-15,4.9660361627067084e-15,-2.2300631967864544e-19
GORDON,2024-09-16,4.94782888071695e-15,1.5610442377505183e-18
GORDON,2024-09-17,4.988795265193907e-15,1.3380379180718728e-18
GORDON,2024-09-18,5.0115543676811055e-15,4.460126393572909e-19
GORDON,2024-09-19,5.0070025471836654e-15,1.1150315983932274e-18
GORDON,2024-09-20,5.043417111163183e-15,6.690189590359364e-19
HELENE,2024-09-20,-0.05760028761720831,0.0013555974250067317
HELENE,2024-09-21,-0.05660102777810564,0.0014899920109279325
HELENE,2024-09-22,-0.055880252412735865,0.001626052685415001
HELENE,2024-09-23,-0.05569516917515618,0.0017604424803115048
HELENE,2024-09-24,-0.050533285631123026,0.0018795630778958767
HELENE,2024-09-25,-0.04643631822272742,0.001970044537597927
HELENE,2024-09-26,-0.04358307137532862,0.002026149193043845
HELENE,2024-09-27,-0.043664279880610835,0.0020478339534918165
HELENE,2024-09-28,-0.049173318705343576,0.0020461626880615793
HELENE,2024-09-29,-0.05235310488640704,0.0020352755927773554
HELENE,2024-09-30,-0.05624777542860595,0.0020201098560157734
HELENE,2024-10-01,-0.06064336820349829,0.002001812307103368
ISAAC,2024-09-23,-0.16787962042732996,-9.873628133429889e-05
ISAAC,2024-09-24,-0.16726806906380354,-8.20659439423306e-05
ISAAC,2024-09-25,-0.16951331782263127,-6.651416892011057e-05
ISAAC,2024-09-26,-0.17064221757398498,-5.1867574178698283e-05
ISAAC,2024-09-27,-0.17041992369702547,-3.663665272121176e-05
