Cyclone,Peak_Date,SST_Large,SST_Meso,SST_Submeso,MSLA_Large,MSLA_Meso,MSLA_Submeso
NEVILLE,2024-03-21,26.7615555733879,0.03514098491539158,0.008639523464327217,0.0464532597467,0.00034687088533631884,0.00067890648087689
GAMANE,2024-03-27,29.63800588746689,-0.012711247567235393,-0.004613238408706865,0.25248528493470995,-0.0017859285907995137,-0.001211643867964256
HIDAYA,2024-05-03,29.648594205194104,-0.03454709882133429,-0.00661037027449915,0.19843830693379583,-0.0004271370809008853,0.0012129092213577135
IALY,2024-05-21,29.438204397884487,0.0037097510069149797,-0.0022450067924751817,0.16688283877500917,-0.0007340494826391278,-8.660063880696612e-05
JASPER,2023-12-07,0.0,0.0,0.0,0.0,0.0,0.0
KIRRILY,2024-01-25,28.856440117931232,0.014633111396469934,0.006242372111888556,0.1732947186491468,0.00503878113021051,0.0015183630435290831
LINCOLN,2024-02-16,28.69324863508744,-0.3777574440792574,-0.0344738282136462,0.05099732886306641,-0.0013570748244777961,-0.0011027263748370486
MEGAN,2024-03-17,29.581712374461954,0.02981225302372878,0.01770517411837653,0.21863032427066628,0.006888266324500875,0.0015546705839841045
OLGA,2024-04-07,29.34833204534553,-0.009760265463102474,-0.0003925517221927404,0.036187944794125584,0.0024584909391815795,0.0022024813423691305
PAUL,2024-04-11,29.27608257088847,9.168016062767751e-15,-7.702471300975983e-15,0.024513764177693766,3.777696492108284e-18,-6.296160820180472e-18
LOLA,2023-10-24,0.0,0.0,0.0,0.0,0.0,0.0
MAL,2023-11-14,0.0,0.0,0.0,0.0,0.0,0.0
NAT,2024-02-06,27.496291527506717,4.3620318088483504e-16,-1.8010584011842984e-15,0.136184828583548,1.703039962954663e-06,-8.602811332714156e-06
OSAI,2024-02-07,29.624908860070164,-8.091589873424628e-16,-3.111700883861445e-15,0.0819261820118493,8.255201974230858e-06,-2.4544080399800696e-05
ANCHA,2024-10-02,26.43019772921366,4.712920858639534e-15,-4.174421750285563e-15,0.13327710067637877,9.344922672298692e-18,-2.1068596694474244e-17
BHEKI,2024-11-17,25.59703670181084,0.0008075977176013921,0.0003321457528857427,0.11799925952102996,2.7099083416275043e-05,2.8517862035731403e-05
ROBYN,2024-11-28,27.118182585426545,4.195833445337534e-15,-6.15713002153489e-15,0.14926993080993087,3.855882435273912e-18,-3.390164134888485e-17
CHIDO,2024-12-12,25.080602377167768,0.11782853054336608,0.01670249170346047,0.09319817669137703,0.0014086470918878552,0.0006664967611461704
