Cyclone,Peak_Date,SST_Large,SST_Meso,SST_Submeso,MSLA_Large,MSLA_Meso,MSLA_Submeso,SST_Large_Std,SST_Meso_Std,SST_Submeso_Std,MSLA_Large_Std,MSLA_Meso_Std,MSLA_Submeso_Std,SST_Submeso_Grad_Avg
ALBERTO,2024-06-20,-0.2189002850895924,-0.0067017738891452,0.0162303816695588,0.0097331724262042,-0.0011617642183554,0.0024877508830603,0.0161884380659225,0.029623961255061,-0.0749135575745835,0.002555212662678,0.0035719242274813,0.0028867794784487,0.0024339197146096185
BERYL,2024-07-02,0.430273769684284,0.0001828963519894,0.0057277516695519,0.0067608819558881,1.0912227065169693e-05,-0.0002930853927006,-0.3616363258086918,-0.0317317276062254,-0.1104463527468653,-0.0022485618513661,0.0005785934480509,0.0014637419867765,0.004913745693829218
CHRIS,2024-07-01,-0.0369931293228837,0.0061397922189456,-0.0062107927523641,-0.0403500482643251,0.0015385734401727,-0.0015655131276548,-0.0001874207741301,-0.0340337720674167,-0.005507094962201,-5.876213613732599e-05,-0.0036876764061749,-0.0239531687651246,0.0031233612494042905
DEBBY,2024-08-05,0.0992156983262901,-0.0084876916791482,-0.0288681505632417,0.0048815197900938,-0.0001474610731067,-0.0008526314021836,-0.0202452537867139,0.0447666960684774,0.074616542331882,5.075901010662479e-05,-0.0009183538769143,0.0033427208985022,0.00672854451899601
ERNESTO,2024-08-16,-0.0436125521403951,0.0016591213588057,0.0045189092490079,0.0029857484838436,8.806935584150359e-05,0.0001276759135748,0.0146494286717628,-0.0230540569748279,-0.0387566653933814,0.000384908365393,-0.001207346177187,-6.938073085280272e-05,0.0055424969193417295
FRANCINE,2024-09-11,-0.3562074119076932,-0.0068341248342315,-0.0275902771191585,0.0181001699848213,-0.0021093673512394,0.000345213420495,0.0007249743550332,0.0369121895025827,0.1037796860590833,-0.0022888720903115,-0.0006749937732745,-0.0040239885407557,0.004288515096431087
GORDON,2024-09-14,-0.0661867919577439,-1.7882151954227582e-17,2.001581781240573e-18,0.0085158296492911,7.805221188752585e-19,-1.2902508495693045e-18,0.0407653726734762,-0.0086467977805401,0.0033603267877004,-0.0010160227600593,0.0005448066672945,-9.453381108529696e-06,0.004000150222053568
HELENE,2024-09-27,-0.2843745053747177,0.0102130131870166,-0.0009103094425968,0.0036921487524495,0.000138238884277,0.0009477809577354,-0.09753571967675,-0.0175617034979029,-0.0434377547426425,0.0039978114860673,0.0006089179366899,0.0001640316032848,0.004489572940360194
ISAAC,2024-09-28,-0.1366546753885273,-0.0001187788005069,-0.0026490795552697,-0.0024869550614196,9.75602841888784e-05,-7.576388852244032e-05,-0.0682337491542206,0.0395274705194335,0.0412225692086407,-0.0038243065003404,-0.000181824141551,-0.0006463262886292,0.004084329371244482
JOYCE,2024-09-27,-0.2452760230489907,3.088521142598764e-17,-4.7496172176476686e-17,-0.0022841126126126,-8.001607384685731e-20,-3.2006429538743242e-19,0.0315242523850482,0.0343094056010712,0.0820790980174702,0.0021091914996067,0.000792769761835,0.0014466421464203,0.0040208996337138675
KIRK,2024-10-04,-0.3144369056405089,-0.000459682965312,-0.0029271631052636,-0.0028410976050206,5.123538820919169e-05,0.0001510323126178,0.0257414837514051,0.037222266665491,0.0527492062064494,0.0013091582009863,-0.0002596992393808,-0.0003389833157607,0.0038884384463777136
LESLIE,2024-10-10,-0.2436881967756967,-7.106617352187473e-17,-1.428903053790937e-17,0.0002829869164382,-5.8084948818343554e-08,5.6627593736051046e-08,-0.1395374998126239,0.0557662091631723,0.013311727186302,0.0037931915447447,0.0011502415976839,0.0009287314723324,0.003991427938902404
MILTON,2024-10-07,-0.2542155445156737,0.0037386110598084,-0.001677389801423,-0.0074598279809227,3.058237471922703e-05,-0.0001688995909938,0.0787086327963395,-0.0073611627693632,0.0364318634453856,0.0002298233247478,5.676320489469977e-05,-0.0034536361394723,0.004393988039123607
OSCAR,2024-10-19,-0.3081745974540126,-0.0013401342926441,0.0041561557987903,-0.0050286145842905,5.621718520639255e-05,-3.724208779291491e-05,0.067440574087708,-0.0116981564563897,0.0525404728378812,-0.0014763765550513,1.9648858506984834e-06,0.0001379988989302,0.003975198116933762
KRISTY,2024-10-19,-0.2857918527641985,0.0096788712153164,0.0106085563777278,-0.0233573964238511,0.0009405067506469,-0.0022083582784991,-0.0025595846655963,0.0133441869722575,-0.0109996899272846,-0.0031312016095278,-0.0065036442127329,-0.0113774560071107,0.001876178374646485
PATTY,2024-10-31,-0.2369148379062196,-9.129711246334622e-18,-1.0270925152126601e-17,-0.0025720663988657,4.1974405467870213e-19,4.0050578550592464e-19,-0.154060630336887,0.0133996455860128,1.3580095477139231e-05,-0.0009457915898602,-0.0001849695095858,-0.0017056781271085,0.003888719274433338
RAFAEL,2024-11-08,-0.0691606060684684,-0.0029861270382772,0.0078367205094142,-0.012515550510228,8.050426772548188e-06,0.0002830769528264,-0.0031518200670316,-0.0038925936802187,-0.0566765042552886,-5.661651285131242e-05,0.0008862747043158,6.653736410974775e-05,0.00403643808030766
SARA,2024-11-15,-0.2458368398091046,-0.0057086560977718,0.0047284725651975,-0.0018574088980072,-0.0004005967320834,0.0012420062974247,-0.0013504527776632,-0.0225987252749773,-0.0120677712051973,0.0043613968404324,0.0016514616300881,0.00447868533721,0.002926367226552024
ALETTA,2024-07-04,0.5040878829522057,0.004041158440768,0.0048486305842338,0.0037296124729208,-0.0001510934834075,0.0004212480266291,-0.1586810534519629,-0.085614777586093,-0.0811841676734597,-0.0012492353846325,0.0001704565669255,-0.0008611839167824,0.004726984729643625
