date,phase,sst_raw_mean,sst_raw_std,sst_large_scale_mean,sst_large_scale_std,sst_meso_mean,sst_meso_std,sst_submeso_mean,sst_submeso_std,msla_raw_mean,msla_raw_std,msla_large_scale_mean,msla_large_scale_std,msla_meso_mean,msla_meso_std,msla_submeso_mean,msla_submeso_std
2024-10-17,pre,30.167643435692035,0.5292501597888816,30.11426544643866,0.22231649210914278,0.02491257047509903,0.1392106031850636,0.011317473233833187,0.17466559421526312,0.11468852428964253,0.09399260971165267,0.109923260529158,0.01828858414752692,0.0022346695346572827,0.04478615434167919,0.0034346509614705837,0.030351202989382937
2024-10-18,pre,30.149672541166,0.5508490044903551,30.092302018043185,0.2046186463378292,0.02715795396781395,0.16496541063683343,0.014133963432990447,0.2107041617240783,0.11469602199816681,0.09665487726217425,0.10979996873777359,0.02006380205534836,0.0023043761608524203,0.04524856100984721,0.003364979684569687,0.031171165562097227
2024-10-19,pre,30.174490402017504,0.5481917761540778,30.116857035202152,0.1935877395293304,0.026970777674516538,0.16684352438886002,0.015056554423439712,0.2229346532741183,0.11571737855178735,0.10125080146791077,0.1103256229289746,0.02278447514683595,0.002567064607679628,0.04615666272812564,0.003473244327525877,0.0322753551403715
2024-10-20,pre,30.189445779557925,0.47230861817399483,30.147113727287156,0.1526436218028149,0.019873251523136893,0.14728582047020616,0.006419270452991803,0.2141285099824919,0.11801583868011001,0.10794038993104992,0.11170225506004672,0.02651384860494752,0.003049448286971874,0.04760759300301956,0.0038056249666506914,0.03365419451323028
2024-10-21,pre,30.200029906542053,0.4027295808113328,30.180059656953237,0.08382363634780833,0.01011323753515417,0.15095862138535968,-0.0012428854473926707,0.22802492730415796,0.12149154903758021,0.11666269150608018,0.11387900555312107,0.030999317809814422,0.0037230580289696947,0.04970865995439375,0.004355335873302009,0.0353274175074948
2024-10-22,pre,29.87121361815754,0.5072937974026785,29.83720410907108,0.1996805123017281,0.018275513557010164,0.13185061889534747,0.005892745625772078,0.20975104873993794,0.12554612282309807,0.12681876710960532,0.11641114046749576,0.03566837767706345,0.004509319667517136,0.052469555347685395,0.005058991825769493,0.03731386359776012
2024-10-23,during,29.940690164663998,0.44058841457464315,29.91016380695516,0.1719726583150318,0.016057690771427817,0.12854581293104733,0.007385589910950582,0.16688800534057674,0.12919901008249313,0.1370777532539479,0.1185523329398719,0.03980718384953084,0.005288029055230407,0.05560102247238675,0.005810738895392165,0.03945644314323112
2024-10-24,during,29.804228274736683,0.43910966905588017,29.803105272378346,0.13415755112878894,0.004516381598378142,0.18224166284296126,0.002542586912296017,0.2017015306203289,0.13133937671860677,0.14561428469997634,0.11947391448343923,0.04266837815516071,0.005912709066264576,0.05852470175462556,0.006466416839981869,0.041409244393711304
2024-10-25,during,29.563462661326213,0.4551951048853927,29.597316769567218,0.11948564939384985,-0.011531000513937656,0.16911737233237403,-0.0132825913910463,0.2205948323393483,0.13103297891842347,0.15087334087146795,0.11847225415817521,0.043715625996605466,0.006267307199596303,0.0606782476344998,0.006910946266937572,0.04282236732807585
2024-10-26,post,29.60684919151461,0.41259328873471696,29.6365157058752,0.09696184013829134,-0.009564783140408376,0.14370011176545347,-0.013076625131068739,0.2077610433973719,0.12782324472960588,0.15203101518716267,0.11522416459229709,0.042754932743941425,0.006284990822356778,0.06171594985346642,0.0070692559274629484,0.04341548492975542
2024-10-27,post,29.623348464619493,0.36332153515967913,29.644193524693158,0.07645826641812861,-0.004945233105908039,0.12787049156205715,-0.012418596759478569,0.1843145306014413,0.1220521906507791,0.14925682906093066,0.11006832891651118,0.040000732275348526,0.005968964325534225,0.0615844743003935,0.006924725740558246,0.04312347949428069
2024-10-28,post,29.597980151312864,0.32368533400873034,29.612658311197794,0.07629235748235776,-0.0026646278871510463,0.12366026498298374,-0.012119584377193049,0.16143409176919105,0.11460054995417047,0.1436488842764469,0.10374549369240992,0.03607093069591295,0.005388388930904131,0.060520793929698946,0.006527781197257694,0.042081896252982
2024-10-29,post,29.647457024180383,0.29553495163821475,29.663311318542036,0.06994887246304969,-0.0034992607042539166,0.10946583594642068,-0.012767846567303736,0.16109556890887303,0.1066243813015582,0.13680300161082645,0.09717239074976756,0.03184617954331304,0.004661815274886719,0.058944347635683625,0.00598285810287374,0.04057555792601636
2024-10-30,post,29.798715116451568,0.23475060756894342,29.810004058556476,0.025700206744029536,-0.00187832800063266,0.07428055314002846,-0.012089021597526171,0.17202440118505216,0.09926656278643446,0.13015839609306853,0.09122903001226983,0.02821196576291365,0.003922307266677026,0.057244771518127686,0.0054161492977273466,0.038908123688888685
2024-10-31,post,29.752243228007714,0.22444305065031206,29.763204213664817,0.023734231319989963,-0.0022363998650458965,0.07431859052880632,-0.011817178690879563,0.16322835309054476,0.09331426214482128,0.12470388025543437,0.08644867539301297,0.025931840668799947,0.0032964472461062067,0.05570077031511784,0.00494609145904516,0.037293239615798564
2024-11-01,post,29.735236611778667,0.24186954411235065,29.75183395415193,0.040651459481797166,-0.005698042942638994,0.08460436424612625,-0.012357297700637641,0.16427667917284586,0.08933120073327225,0.12098222818306183,0.08319250318600813,0.025400125051684257,0.0028852293580536245,0.05446425616129485,0.004668438067842771,0.03590570058057878
2024-11-02,post,29.71058644118083,0.2672284854109513,29.73470889276504,0.07076893163430538,-0.009470617258217717,0.07980982202640846,-0.013957368927884926,0.1579022540404019,0.08748760769935839,0.11924148258116417,0.08153184843136749,0.026626507323345046,0.0027404797803370112,0.053582255512970134,0.004630674873675273,0.034891902948286806
2024-11-03,post,29.710671028037385,0.26820634761341855,29.734982418291757,0.062409705301623625,-0.0097580528484572,0.0831511719101735,-0.014498583892534505,0.16972272898318053,0.08752771769019249,0.1196829820803651,0.08122371239226084,0.0293841454698299,0.0028604663424614866,0.0531045583865423,0.004829619047625822,0.034412743989157606
2024-11-04,post,29.718523334816794,0.29253727002025304,29.74594435763599,0.06224514224195818,-0.011423389514717504,0.09314922042891115,-0.015197788094394524,0.18539841180037897,0.08888839596700275,0.122465718786165,0.08181278524911557,0.03332541629763347,0.0031883842633809866,0.05314337310566581,0.005224196240508685,0.03466076757223587
